time_tick,grv_X_value,grv_Y_value,grv_Z_value,Turn ,Success,Hoop
5.600997,-1.05705,-9.723597,-0.715224,1,1,0
5.640639,-1.054448,-9.722938,-0.727915,1,1,0
5.670394,-1.049987,-9.721439,-0.753931,1,1,0
5.705123,-1.031339,-9.720528,-0.790524,1,1,0
5.734847,-1.010521,-9.720995,-0.811385,1,1,0
5.769545,-0.979457,-9.722207,-0.83463,1,1,0
5.804274,-0.965506,-9.721079,-0.863519,1,1,0
5.838942,-0.945532,-9.721445,-0.881321,1,1,0
5.868697,-0.929099,-9.721488,-0.898157,1,1,0
5.903426,-0.890192,-9.725082,-0.898657,1,1,0
5.938094,-0.861398,-9.729181,-0.8822,1,1,0
5.967838,-0.845648,-9.732398,-0.861721,1,1,0
6.002537,-0.822468,-9.735931,-0.844062,1,1,0
6.037235,-0.793712,-9.739682,-0.828174,1,1,0
6.06699,-0.772364,-9.742918,-0.810088,1,1,0
6.101688,-0.752923,-9.746346,-0.786833,1,1,0
6.136387,-0.725918,-9.749642,-0.771213,1,1,0
6.171116,-0.707316,-9.751219,-0.768551,1,1,0
6.205784,-0.687768,-9.752183,-0.774047,1,1,0
6.235539,-0.673237,-9.752165,-0.78695,1,1,0
6.270237,-0.66545,-9.751533,-0.801261,1,1,0
6.304936,-0.666858,-9.750813,-0.80883,1,1,0
6.33469,-0.67065,-9.750329,-0.811521,1,1,0
6.369389,-0.672066,-9.749594,-0.819138,1,1,0
6.404087,-0.678462,-9.748584,-0.825868,1,1,0
6.433842,-0.670699,-9.748177,-0.836925,1,1,0
6.46854,-0.642475,-9.749175,-0.847387,1,1,0
6.503239,-0.623224,-9.751836,-0.830986,1,1,0
6.537968,-0.607874,-9.754659,-0.808922,1,1,0
6.572636,-0.612566,-9.756136,-0.787285,1,1,0
6.60239,-0.625175,-9.756475,-0.773045,1,1,0
6.637089,-0.645793,-9.756141,-0.76021,1,1,0
6.671787,-0.667877,-9.75558,-0.748234,1,1,0
6.701542,-0.677685,-9.754902,-0.748248,1,1,0
6.73624,-0.678483,-9.753943,-0.759936,1,1,0
6.770939,-0.672663,-9.753334,-0.772818,1,1,0
6.800694,-0.671868,-9.752318,-0.786218,1,1,0
6.835392,-0.6861,-9.749705,-0.80608,1,1,0
6.870091,-0.688198,-9.747036,-0.836014,1,1,0
6.90482,-0.673999,-9.744202,-0.879489,1,1,0
6.939488,-0.67181,-9.73981,-0.928454,1,1,0
6.969201,-0.687029,-9.734928,-0.967683,1,1,0
7.0039,-0.718146,-9.728847,-1.005515,1,1,0
7.038598,-0.761544,-9.723206,-1.027895,1,1,0
7.073327,-0.815361,-9.716609,-1.048783,1,1,0
7.103051,-0.862463,-9.710887,-1.063991,1,1,0
7.13775,-0.918243,-9.704246,-1.077813,1,1,0
7.167504,-0.965497,-9.698865,-1.08493,1,1,0
7.202203,-1.014898,-9.693515,-1.087654,1,1,0
7.236901,-1.058527,-9.69044,-1.073373,1,1,0
7.2716,-1.124488,-9.683775,-1.066427,1,1,0
7.301355,-1.152882,-9.680582,-1.065109,1,1,0
7.336053,-1.157323,-9.683183,-1.036255,1,1,0
7.370751,-1.141118,-9.688605,-1.003014,1,1,0
7.40545,-1.107462,-9.695606,-0.972625,1,1,0
7.435205,-1.075782,-9.70109,-0.953304,1,1,0
7.474847,-1.066654,-9.703507,-0.938853,1,1,0
7.504602,-1.09066,-9.702229,-0.924368,1,1,0
7.534356,-1.130094,-9.700208,-0.897829,1,1,0
7.569055,-1.182339,-9.696147,-0.874109,1,1,0
7.603753,-1.238485,-9.691057,-0.852538,1,1,0
7.633508,-1.285957,-9.684562,-0.856052,1,1,0
7.668206,-1.342495,-9.671868,-0.911002,1,1,0
7.702905,-1.438422,-9.650409,-0.988835,1,1,0
7.737603,-1.576622,-9.616009,-1.106296,1,1,0
7.772302,-1.79836,-9.564887,-1.206684,1,1,0
7.802056,-2.053974,-9.500268,-1.305128,1,1,0
7.836755,-2.422183,-9.395334,-1.427579,1,1,0
7.871453,-2.828933,-9.265366,-1.525579,1,1,0
7.901208,-3.19686,-9.137611,-1.568885,1,1,0
7.935907,-3.647178,-8.959726,-1.612031,1,1,0
7.970597,-4.008966,-8.791894,-1.675718,1,1,0
8.005295,-4.175244,-8.693106,-1.781712,1,1,0
8.03505,-4.194683,-8.656401,-1.910135,1,1,0
8.069749,-4.060099,-8.692465,-2.033198,1,1,0
8.104447,-3.687622,-8.839043,-2.109506,1,1,0
8.139146,-2.823032,-9.122282,-2.234213,1,1,0
8.1689,-2.347003,-9.222573,-2.369171,1,1,0
8.203599,-1.768913,-9.291179,-2.592718,1,1,0
8.238297,-1.03927,-9.322586,-2.861216,1,1,0
8.268052,-0.372612,-9.341871,-2.961057,1,1,0
8.30275,0.428364,-9.337154,-2.968385,1,1,0
8.337449,1.090757,-9.291938,-2.940645,1,1,0
8.367173,1.501319,-9.22613,-2.966786,1,1,0
8.401902,1.781971,-9.166393,-2.99651,1,1,0
8.4366,1.917977,-9.164319,-2.917853,1,1,0
8.471299,1.892167,-9.218723,-2.759003,2,1,0
8.501054,1.744426,-9.289233,-2.616176,2,1,0
8.535752,1.461368,-9.374918,-2.480435,2,1,0
8.570451,1.133563,-9.451419,-2.358593,2,1,0
8.605149,0.78469,-9.518742,-2.225999,2,1,0
8.634904,0.462442,-9.560108,-2.137226,2,1,0
8.669602,0.0507,-9.585182,-2.073395,2,1,0
8.704301,-0.36518,-9.585745,-2.038967,2,1,0
8.734025,-0.692977,-9.569499,-2.030205,2,1,0
8.768754,-1.002695,-9.532884,-2.072673,2,1,0
8.803452,-1.227946,-9.467814,-2.242744,2,1,0
8.838151,-1.435173,-9.371678,-2.507824,2,1,0
8.867905,-1.673874,-9.265352,-2.74384,2,1,0
8.902604,-2.050184,-9.116602,-2.976838,2,1,0
8.937302,-2.498937,-8.961549,-3.102129,2,1,0
8.971984,-2.9872,-8.808421,-3.108956,2,1,0
9.001738,-3.396691,-8.666322,-3.087814,2,1,0
9.036437,-3.911487,-8.462047,-3.044876,2,1,0
9.07611,-4.521882,-8.19172,-2.93693,2,1,0
9.10086,-4.896704,-8.008472,-2.839703,2,1,0
9.135589,-5.396606,-7.736616,-2.683033,2,1,0
9.170287,-5.867752,-7.447531,-2.506196,2,1,0
9.200011,-6.287887,-7.156467,-2.329099,2,1,0
9.23474,-6.776271,-6.763544,-2.124589,2,1,0
9.269439,-7.230742,-6.313739,-2.007564,2,1,0
9.309081,-7.72237,-5.714777,-1.970678,2,1,0
9.338836,-8.047462,-5.252038,-1.957475,2,1,0
9.36856,-8.332591,-4.806229,-1.909279,2,1,0
9.403289,-8.640818,-4.265096,-1.822765,2,1,0
9.437987,-8.874834,-3.766871,-1.795899,2,1,0
9.467711,-9.010116,-3.393222,-1.86577,2,1,0
9.50244,-9.11819,-2.982909,-2.034235,2,1,0
9.537139,-9.174421,-2.637607,-2.24728,2,1,0
9.566863,-9.205636,-2.371347,-2.410442,2,1,0
9.61151,-9.195563,-2.039938,-2.730846,2,1,0
9.63629,-9.170284,-1.896149,-2.913377,2,1,0
9.670989,-9.145453,-1.704451,-3.103673,2,1,0
9.705687,-9.13905,-1.529252,-3.211916,2,1,0
9.735412,-9.125286,-1.390421,-3.312572,2,1,0
9.770141,-9.102347,-1.251736,-3.428949,2,1,0
9.804839,-9.081178,-1.123672,-3.528005,2,1,0
9.834563,-9.066283,-1.011067,-3.599655,2,1,0
9.869292,-9.056527,-0.876785,-3.658938,2,1,0
9.903991,-9.042287,-0.732733,-3.725238,2,1,0
9.933715,-9.036597,-0.610501,-3.76091,2,1,0
9.968436,-9.025569,-0.450464,-3.809652,2,1,0
10.003135,-9.022255,-0.327232,-3.830023,2,1,0
10.037834,-9.019493,-0.200355,-3.845236,2,1,0
10.072532,-9.019471,-0.106562,-3.849032,2,1,0
10.102256,-9.028156,-0.02993,-3.82998,2,1,0
10.132011,-9.033847,0.027644,-3.816555,2,1,0
10.171683,-9.052818,0.059135,-3.770974,2,1,0
10.201408,-9.037734,0.024063,-3.807367,2,1,0
10.236137,-9.011608,-0.02519,-3.86879,2,1,0
10.270835,-9.005518,-0.090469,-3.881974,2,1,0
10.300559,-9.01646,-0.180663,-3.853317,2,1,0
10.335289,-9.029555,-0.343622,-3.81134,2,1,0
10.369987,-9.063325,-0.537495,-3.707355,2,1,0
10.404686,-9.100864,-0.744654,-3.577293,2,1,0
10.439384,-9.115455,-0.985753,-3.480521,2,1,0
10.469108,-9.107484,-1.209503,-3.430467,2,1,0
10.503836,-9.082472,-1.430021,-3.411888,2,1,0
10.538536,-9.019882,-1.589895,-3.505883,2,1,0
10.573234,-8.995555,-1.714077,-3.509869,2,1,0
10.612906,-8.981648,-1.840983,-3.481096,2,1,0
10.637687,-8.983256,-1.923212,-3.432144,2,1,0
10.66741,-8.982159,-2.063701,-3.352491,2,1,0
10.70214,-8.958108,-2.293602,-3.266335,2,1,0
10.736808,-8.907362,-2.56371,-3.203676,2,1,0
10.771537,-8.855899,-2.797317,-3.150449,2,1,0
10.801292,-8.819744,-2.954372,-3.108225,2,1,0
10.835959,-8.766005,-3.126643,-3.091684,2,1,0
10.870688,-8.690483,-3.26406,-3.162066,2,1,0
10.900444,-8.601575,-3.426246,-3.232801,2,1,0
10.935112,-8.507881,-3.613412,-3.276653,2,1,0
10.969825,-8.420909,-3.735871,-3.362857,2,1,0
11.004523,-8.472641,-3.639627,-3.33837,2,1,0
11.029303,-8.708964,-3.188814,-3.187892,2,1,0
11.068976,-9.146419,-1.795602,-3.048946,2,1,0
11.103644,-9.144677,-0.078262,-3.542033,2,1,0
11.133399,-8.605422,1.732777,-4.372808,2,1,0
11.168128,-7.199627,4.275337,-5.105303,2,1,0
11.202795,-5.927982,5.710353,-5.331806,2,1,0
11.237525,-4.191729,4.897472,-7.390631,2,1,0
11.267279,-3.791166,3.924054,-8.148994,2,1,0
11.301947,-5.59055,2.82676,-7.545358,2,1,0
11.336676,-6.234885,1.995135,-7.302252,2,1,0
11.371375,-6.063795,1.152213,-7.621027,2,1,0
11.401099,-5.752044,0.430227,-7.931339,2,1,0
11.435828,-5.702912,-0.259986,-7.974111,2,1,0
11.470496,-6.513119,-1.021442,-7.260385,2,1,0
11.505225,-7.278384,-1.951894,-6.276344,2,1,0
11.534979,-6.938652,-3.252099,-6.120147,2,1,0
11.569648,-5.384754,-4.811497,-6.635599,2,1,0
11.604377,-3.916751,-6.104367,-6.600986,2,1,0
11.639075,-2.771845,-7.146395,-6.117447,2,1,0
11.668799,-2.102306,-7.71768,-5.674062,2,1,0
11.703528,-1.294473,-8.147298,-5.303124,2,1,0
11.738226,-0.321466,-8.304842,-5.206103,2,1,0
11.767951,0.460383,-8.271384,-5.248762,2,1,0
11.80268,1.473974,-8.082533,-5.355119,2,1,0
11.837348,2.181344,-7.841878,-5.470277,2,1,0
11.867102,2.522349,-7.630988,-5.619878,2,1,0
11.90183,2.748745,-7.451159,-5.753422,2,1,0
11.936498,2.922412,-7.348149,-5.800127,2,1,0
11.971206,3.064999,-7.305075,-5.780909,2,1,0
12.005905,3.068279,-7.324815,-5.754129,2,1,0
12.035629,3.004406,-7.37011,-5.729945,2,1,0
12.070358,2.938795,-7.437213,-5.677024,2,1,0
12.105026,2.865919,-7.537934,-5.58062,2,1,0
12.134781,2.777436,-7.637167,-5.489698,2,1,0
12.16951,2.608298,-7.766772,-5.389924,2,1,0
12.204178,2.313051,-7.925942,-5.292116,2,1,0
12.233932,1.948164,-8.070736,-5.219687,2,1,0
12.268661,1.46216,-8.253672,-5.090799,2,1,0
12.303329,1.125847,-8.442543,-4.861397,2,1,0
12.338058,1.098008,-8.6144,-4.556726,2,1,0
12.367813,1.171357,-8.729312,-4.313268,2,1,0
12.402481,1.343982,-8.809512,-4.09432,2,1,0
12.43721,1.551907,-8.851182,-3.92752,2,1,0
12.471878,1.62662,-8.856549,-3.884958,2,1,0
12.501632,1.664203,-8.835443,-3.916966,2,1,0
12.536361,1.676059,-8.836124,-3.910369,2,1,0
12.571029,1.540559,-8.871156,-3.88671,2,1,0
12.600784,1.342842,-8.910852,-3.869204,2,1,0
12.635513,1.101323,-8.956949,-3.838932,2,1,0
12.670181,0.885681,-8.998377,-3.797635,2,1,0
12.70491,0.670749,-9.026377,-3.775164,2,1,0
12.734665,0.41846,-9.042544,-3.77287,2,1,0
12.769333,0.048783,-9.055265,-3.765241,2,1,0
12.804062,-0.27037,-9.062283,-3.738874,2,1,0
12.83873,-0.514193,-9.067666,-3.70004,2,1,0
12.868484,-0.709612,-9.072999,-3.654365,2,1,0
12.903213,-0.902569,-9.086173,-3.578278,2,1,0
12.937881,-1.025562,-9.107911,-3.488757,2,1,0
12.967635,-1.08291,-9.122261,-3.433497,2,1,0
13.002364,-1.029032,-9.18611,-3.276235,2,1,0
13.037032,-0.916743,-9.266123,-3.07828,2,1,0
13.066786,-0.980571,-9.274919,-3.031765,2,1,0
13.106459,-1.084165,-9.289466,-2.950874,2,1,0
13.136182,-1.094028,-9.319974,-2.849287,2,1,0
13.170911,-1.229019,-9.332284,-2.752314,2,1,0
13.20558,-1.379042,-9.336839,-2.664379,2,1,0
13.235335,-1.505518,-9.322342,-2.64662,2,1,0
13.270064,-1.664236,-9.298934,-2.633894,2,1,0
13.304732,-1.804056,-9.274203,-2.629029,2,1,0
13.334487,-1.91222,-9.251681,-2.63193,2,1,0
13.369216,-2.03356,-9.226233,-2.630303,2,1,0
13.403884,-2.12272,-9.21101,-2.61316,2,1,0
13.433638,-2.173317,-9.202883,-2.600169,2,1,0
13.468366,-2.229212,-9.184062,-2.619328,2,1,0
13.503034,-2.360657,-9.134854,-2.675628,2,1,0
13.537764,-2.572837,-9.067233,-2.709805,2,1,0
13.577407,-2.939321,-8.966041,-2.673527,2,1,0
13.602187,-3.223931,-8.894199,-2.583938,2,1,0
13.636916,-3.633914,-8.792388,-2.380302,2,1,0
13.671583,-3.929867,-8.723457,-2.152832,2,1,0
13.701338,-4.007766,-8.722919,-2.006424,2,1,0
13.736067,-3.871181,-8.7464,-2.166035,2,1,0
13.770735,-3.830397,-8.754901,-2.203864,2,1,0
13.810408,-3.756443,-8.788763,-2.196368,2,1,0
13.835218,-3.591165,-8.85125,-2.221746,2,1,0
13.869887,-3.084979,-8.998894,-2.38329,2,1,0
13.904616,-2.202925,-9.237371,-2.44854,2,1,0
13.93434,-1.477118,-9.364076,-2.511863,2,1,0
13.969015,-0.689194,-9.464815,-2.473771,2,1,0
14.003744,0.147275,-9.484049,-2.491661,2,1,0
14.038412,0.924903,-9.442218,-2.483207,2,1,0
14.068166,1.373971,-9.411252,-2.39119,2,1,0
14.112813,1.828574,-9.36545,-2.263163,2,1,0
14.137563,1.993501,-9.339652,-2.230273,2,1,0
14.167318,2.107118,-9.322975,-2.19532,2,1,0
14.202047,2.201566,-9.315409,-2.133892,2,1,0
14.236715,2.211795,-9.330813,-2.054539,2,1,0
14.271444,2.120454,-9.368056,-1.980013,2,1,0
14.306112,1.902227,-9.422592,-1.942559,2,1,0
14.335866,1.618827,-9.473237,-1.953056,2,1,0
14.370595,1.181765,-9.524972,-2.013848,2,1,0
14.405263,0.615768,-9.54875,-2.149291,2,1,0
14.435018,0.067018,-9.537555,-2.282061,2,1,0
14.469747,-0.603716,-9.486942,-2.410539,2,1,0
14.504415,-1.301587,-9.395621,-2.49107,2,1,0
14.53417,-1.907511,-9.282265,-2.525511,2,1,0
14.568899,-2.615461,-9.103261,-2.54308,3,1,0
14.603567,-3.308501,-8.876316,-2.538126,3,1,0
14.638296,-3.997614,-8.597239,-2.506753,3,1,0
14.66802,-4.552085,-8.334378,-2.448247,3,1,0
14.702718,-5.148761,-8.006933,-2.357227,3,1,0
14.737447,-5.681267,-7.679214,-2.22039,3,1,0
14.772115,-6.068381,-7.427274,-2.046362,3,1,0
14.80187,-6.284504,-7.276964,-1.930816,3,1,0
14.836599,-6.500367,-7.106546,-1.849181,3,1,0
14.871267,-6.718195,-6.915311,-1.794878,3,1,0
14.901021,-6.893322,-6.748865,-1.764142,3,1,0
14.93575,-7.1147,-6.516463,-1.758978,3,1,0
14.97041,-7.295921,-6.310567,-1.767351,3,1,0
15.000165,-7.406288,-6.172195,-1.796706,3,1,0
15.034864,-7.518899,-6.037703,-1.785931,3,1,0
15.069562,-7.665635,-5.842238,-1.812056,3,1,0
15.104291,-7.777809,-5.691797,-1.812837,3,1,0
15.138959,-7.867408,-5.562995,-1.825985,3,1,0
15.168714,-7.975992,-5.403706,-1.833239,3,1,0
15.203443,-8.092502,-5.207556,-1.889452,3,1,0
15.238111,-8.157462,-5.061459,-2.003669,3,1,0
15.267865,-8.240096,-4.851245,-2.177957,3,1,0
15.302564,-8.387579,-4.543277,-2.276928,3,1,0
15.337262,-8.516103,-4.230885,-2.39851,3,1,0
15.362073,-8.563964,-4.094015,-2.464713,3,1,0
15.401715,-8.625706,-3.914247,-2.540299,3,1,0
15.436414,-8.68503,-3.753623,-2.580274,3,1,0
15.471143,-8.714062,-3.666537,-2.607468,3,1,0
15.505811,-8.724199,-3.60026,-2.665281,3,1,0
15.535565,-8.746833,-3.575843,-2.623646,3,1,0
15.570294,-8.754288,-3.565902,-2.612286,3,1,0
15.604962,-8.742614,-3.564554,-2.652905,3,1,0
15.634717,-8.725833,-3.56104,-2.712211,3,1,0
15.669416,-8.709252,-3.567118,-2.757146,3,1,0
15.704114,-8.7067,-3.615745,-2.701298,3,1,0
15.733869,-8.697468,-3.668207,-2.659993,3,1,0
15.768567,-8.668196,-3.727611,-2.672927,3,1,0
15.803266,-8.661103,-3.726286,-2.697651,3,1,0
15.837995,-8.674237,-3.640801,-2.771178,3,1,0
15.867719,-8.713857,-3.508061,-2.817704,3,1,0
15.902417,-8.761138,-3.276963,-2.946391,3,1,0
15.937146,-8.789636,-3.034363,-3.116439,3,1,0
15.971778,-8.817235,-2.809166,-3.246877,3,1,0
16.001533,-8.838503,-2.644868,-3.326077,3,1,0
