time_tick,lac_X_value,lac_Y_value,lac_Z_value,turn,success,hoop
26.839446,-0.508364,0.019036,0.026006,4,0,1
26.86917,-0.417013,-0.012921,0.106211,4,0,1
26.903899,-0.338179,0.009298,0.150281,4,0,1
26.938567,-0.301466,0.100096,0.005202,4,0,1
26.968321,-0.132886,-0.028039,-0.011155,4,0,1
27.00305,-0.084284,0.020763,-0.006924,4,0,1
27.037718,-0.142628,-0.000209,-0.030361,4,0,1
27.072432,-0.177554,0.022382,0.030121,4,0,1
27.1071,-0.113065,0.060204,0.093166,4,0,1
27.136855,0.044867,-0.026465,-0.099652,4,0,1
27.171553,0.203258,0.041156,-0.07686,4,0,1
27.206252,0.119908,0.164227,0.004988,4,0,1
27.236007,-0.009248,0.079249,-0.199337,4,0,1
27.270705,0.084512,0.058842,-0.154038,4,0,1
27.305403,0.302983,0.072035,-0.032981,4,0,1
27.335128,0.311024,-0.011395,-0.036685,4,0,1
27.369857,0.317412,-0.027106,-0.064242,4,0,1
27.404525,0.413506,-0.077498,-0.035258,4,0,1
27.439254,0.421025,-0.030714,-0.046363,4,0,1
27.469008,0.377609,0.065376,-0.091215,4,0,1
27.503676,0.385594,0.011218,-0.169861,4,0,1
27.538405,0.305922,0.131495,-0.116685,4,0,1
27.573073,0.298316,-0.028056,0.023466,4,0,1
27.602828,0.252226,-0.020166,0.062473,4,0,1
27.637526,0.244744,0.005452,0.065622,4,0,1
27.672225,0.22272,0.045961,0.136978,4,0,1
27.701979,0.276416,0.035192,0.129144,4,0,1
27.736678,0.253047,0.024342,0.04965,4,0,1
27.771376,0.141176,0.065353,-0.059674,4,0,1
27.801101,0.072631,-0.076306,0.030878,4,0,1
27.83583,0.030704,-0.095462,0.077826,4,0,1
27.870497,-0.087649,-0.049278,0.051106,4,0,1
27.905226,-0.275613,-0.063216,-0.005227,4,0,1
27.939925,-0.328147,-0.110452,-0.053136,4,0,1
27.969649,-0.343673,0.127643,-0.13605,4,0,1
28.004378,-0.330906,0.135378,-0.058508,4,0,1
28.039046,-0.230696,0.070423,-0.227481,4,0,1
28.063841,-0.12069,0.068513,-0.408381,4,0,1
28.103483,0.298363,0.042979,-0.277489,4,0,1
28.138182,0.411532,0.169182,-0.224717,4,0,1
28.167936,0.386358,-0.063088,-0.157273,4,0,1
28.202635,0.228742,-0.08581,-0.004121,4,0,1
28.237333,0.073142,-0.197896,0.141214,4,0,1
28.272032,-0.109507,-0.271135,0.104536,4,0,1
28.30673,-0.110006,-0.018304,0.242833,4,0,1
28.336454,-0.091361,0.129046,0.224813,4,0,1
28.371183,-0.145678,0.023081,0.138079,4,0,1
28.405882,-0.198085,0.075861,0.111544,4,0,1
28.435606,-0.275637,0.061918,-0.081782,4,0,1
28.470335,-0.239388,0.104443,-0.083825,4,0,1
28.505003,0.022293,0.219063,0.077151,4,0,1
28.534758,0.072475,0.079893,0.071213,4,0,1
