time_tick,lac_X_value,lac_Y_value,lac_Z_value,Turn,Success
43.463826,0.584769,-0.486411,-0.329133,7,0
43.49358,0.4505,-0.286406,-0.70777,7,0
43.528279,-0.327478,-0.072918,-0.628671,7,0
43.562977,0.197872,0.019283,0.144174,7,0
43.597676,-0.641866,-0.115007,0.161499,7,0
43.6274,-0.463927,-0.075311,0.04219,7,0
43.662129,0.146871,-0.326006,-0.129451,7,0
43.696812,-0.056716,-0.431657,-1.149765,7,0
43.726536,0.521952,-1.02035,-2.663983,7,0
43.761265,3.178967,-2.014903,-4.30282,7,0
43.795964,4.651495,-1.720921,-5.024786,7,0
43.830662,4.980886,-2.170869,-4.816291,7,0
43.865361,3.150796,-3.448584,-3.730176,7,0
43.895116,2.489298,-2.910039,-3.648891,7,0
43.929814,0.911655,-3.914419,-2.27142,7,0
43.964513,-1.182715,-4.895488,-2.600012,7,0
43.994267,-3.006601,-6.506673,-1.08488,7,0
44.028966,-6.537648,-3.600788,-0.975248,7,0
44.063664,-5.990434,-3.198055,1.808905,7,0
44.093419,-2.803053,-2.170854,0.690125,7,0
44.128117,-1.636036,-3.814036,2.854548,7,0
44.162816,-1.755965,-1.577357,2.661288,7,0
44.197545,-2.684462,-2.53993,2.752088,7,0
44.232213,-3.370462,-2.162256,1.756309,7,0
44.261967,-1.58235,0.340162,0.988709,7,0
44.296696,-2.115338,-1.767995,3.46794,7,0
44.331364,-1.20769,0.604213,2.69232,7,0
44.361119,-2.027809,0.133698,1.677248,7,0
44.395817,-3.399951,-0.960832,1.255006,7,0
44.430516,-2.02874,-0.030713,0.689303,7,0
44.460271,-1.584563,-0.595762,0.957868,7,0
44.494969,-1.081317,0.183652,0.015552,7,0
44.529668,-0.708229,0.331357,-0.404084,7,0
44.564397,-0.455861,0.073444,-0.687612,7,0
44.599065,-0.093273,0.270585,-0.94809,7,0
44.628819,0.212876,0.128317,-0.794752,7,0
44.663548,-0.017104,0.15084,-0.55053,7,0
44.698203,-0.445685,0.168227,-0.379505,7,0
44.727958,-0.462315,0.259894,-0.154163,7,0
44.762687,-0.339945,-0.160202,-0.520961,7,0
44.797355,0.522112,-0.064092,-0.939278,7,0
44.827109,0.924961,0.022881,-0.804309,7,0
44.861838,0.967103,-0.001578,-0.653253,7,0
44.896506,0.869956,-0.076706,-0.815262,7,0
44.931235,0.602062,0.056639,-0.615598,7,0
44.96099,0.382363,0.14493,-0.435234,7,0
44.995658,0.625062,0.151116,-0.413202,7,0
45.030387,0.560603,-0.077254,-0.317272,7,0
45.065085,0.413644,-0.192507,-0.109004,7,0
45.09481,0.27818,-0.183553,-0.003832,7,0
45.129539,-0.402455,-0.20845,-0.057351,7,0
45.164237,-0.616616,0.085793,-0.221404,7,0
45.193961,-0.87074,-0.056127,-0.292164,7,0
45.22869,-0.815,-0.075465,-0.235592,7,0
45.263358,-0.361409,0.181778,-0.06319,7,0
45.293113,0.051079,0.256465,-0.022135,7,0
45.327842,0.354292,0.282847,-0.449682,7,0
45.36251,0.134411,0.263959,-0.724835,7,0
45.397239,0.139325,0.206725,-0.763663,7,0
45.431937,0.470621,0.068757,-0.556213,7,0
45.461661,0.4725,-0.17266,-0.189845,7,0
45.49639,0.288285,-0.399365,0.052961,7,0
45.531089,0.36164,-0.448115,0.245148,7,0
45.560813,0.07862,-0.328447,0.267282,7,0
45.595542,-0.600549,0.0127,-0.184539,7,0
45.63024,-0.997076,-0.014257,-0.343203,7,0
45.659965,-1.236577,0.24616,-0.003982,7,0
45.694683,-0.58783,-0.055094,-0.27847,7,0
45.729381,-0.139913,-0.551039,-0.051599,7,0
45.76408,0.339549,-0.339213,0.305869,7,0
45.798778,0.028602,0.160427,-0.126766,7,0
45.828533,-0.714564,0.082074,-0.235739,7,0
45.863231,-1.14858,0.161179,0.530504,7,0
45.89793,-1.545212,-0.176121,0.271182,7,0
45.927684,-0.773017,-0.303663,-0.221083,7,0
45.962383,0.341592,0.364421,-0.53805,7,0
45.997081,0.690974,0.347731,-0.381236,7,0
46.026836,0.29725,-0.387391,-0.290301,7,0
46.061534,-0.430449,0.09193,-0.820742,7,0
46.096233,-1.087506,-0.851404,-0.487238,7,0
46.130931,-1.165994,0.951639,-0.277427,7,0
46.16563,-0.183925,0.067287,-0.526309,7,0
46.195385,1.302126,0.564869,-0.538923,7,0
46.230083,2.099013,0.898775,-0.941451,7,0
46.264781,1.645106,0.530309,-0.754781,7,0
46.294536,0.732861,-0.218283,-0.431616,7,0
46.329235,-0.488756,-0.176122,0.002438,7,0
46.363933,0.110261,-0.212116,0.101851,7,0
