time_tick,grv_X_value,grv_Y_value,grv_Z_value,Turn,Success
7.765168,-0.227054,-9.489018,-2.466623,1,0
7.795197,0.167774,-9.506461,-2.403393,1,0
7.830201,0.483101,-9.530857,-2.259785,1,0
7.865205,0.691053,-9.551009,-2.116109,1,0
7.895203,0.837324,-9.558198,-2.029039,1,0
7.930207,1.117635,-9.555112,-1.904726,1,0
7.965211,1.330856,-9.552763,-1.775046,1,0
7.99524,1.466984,-9.54,-1.735974,1,0
8.030244,1.646996,-9.512541,-1.725169,1,0
8.065247,1.785009,-9.488372,-1.720984,1,0
8.095246,1.848385,-9.469688,-1.756621,1,0
8.13025,1.914203,-9.449851,-1.792592,1,0
8.165284,1.925092,-9.452677,-1.765833,1,0
8.195283,1.85886,-9.47752,-1.7025,1,0
8.230286,1.690988,-9.526901,-1.598743,1,0
8.26529,1.432421,-9.581283,-1.524609,1,0
8.295289,1.186655,-9.614016,-1.529637,1,0
8.330323,0.893918,-9.633331,-1.605332,1,0
8.365327,0.554529,-9.628561,-1.777798,1,0
8.40033,0.151312,-9.593339,-2.030323,1,0
8.430329,-0.252315,-9.53981,-2.25956,1,0
8.465333,-0.842805,-9.431567,-2.551953,1,0
8.495362,-1.430572,-9.289526,-2.799182,1,0
8.530366,-2.133664,-9.062077,-3.082774,1,0
8.565369,-2.848147,-8.767952,-3.344895,1,0
8.595368,-3.447159,-8.468244,-3.547278,2,0
8.630372,-4.109012,-8.083534,-3.734936,2,0
8.665376,-4.746355,-7.676408,-3.836941,2,0
8.695391,-5.273229,-7.308183,-3.867914,2,0
8.730395,-5.771603,-6.901356,-3.903477,2,0
8.765398,-6.091861,-6.582655,-3.966755,2,0
8.795397,-6.335734,-6.312202,-4.023907,2,0
8.830401,-6.62287,-5.995836,-4.045342,2,0
8.865404,-6.811938,-5.778655,-4.047455,2,0
8.900439,-6.895395,-5.647078,-4.076742,2,0
8.930437,-6.896299,-5.617197,-4.13103,2,0
8.965441,-6.776863,-5.715937,-4.192785,2,0
8.99544,-6.677322,-5.837188,-4.185434,2,0
9.030443,-6.604704,-5.938659,-4.157821,2,0
9.065478,-6.532791,-5.986717,-4.202275,2,0
9.095476,-6.430828,-6.016426,-4.315591,2,0
9.13048,-6.284051,-6.073561,-4.449697,2,0
9.165484,-6.148995,-6.152539,-4.52917,2,0
9.195482,-5.936862,-6.279738,-4.636359,2,0
9.230517,-5.604829,-6.500136,-4.744615,2,0
9.26552,-5.26789,-6.724157,-4.817914,2,0
9.295519,-4.865132,-6.918635,-4.963893,2,0
9.330523,-4.173264,-7.137932,-5.273617,2,0
9.365526,-3.357175,-7.325654,-5.589402,2,0
9.395556,-2.725806,-7.471447,-5.738006,2,0
9.430559,-2.167915,-7.571499,-5.843783,2,0
9.465563,-1.73603,-7.628265,-5.913799,2,0
9.500567,-1.51121,-7.622021,-5.983167,2,0
9.530565,-1.430234,-7.549834,-6.093578,2,0
9.565569,-1.304906,-7.459922,-6.230894,2,0
9.595598,-1.185671,-7.381752,-6.346745,2,0
9.630602,-1.1193,-7.363574,-6.379828,2,0
9.665606,-1.354863,-7.412937,-6.276143,2,0
9.695591,-1.874396,-7.402094,-6.154095,2,0
9.730594,-2.922401,-7.143185,-6.050762,2,0
9.765628,-4.51092,-6.357662,-5.950544,2,0
9.800632,-6.008186,-4.900724,-6.005152,2,0
9.830631,-6.40278,-3.350422,-6.629956,2,0
